regulator,coef_tumor,sem_tumor
SMAP2,0.0024383661249052,0.0001044151026569
ZFPM1,0.0024298671252679,0.0001751414346215
FBLIM1,0.0024293075671674,0.000214408026616
APOBEC3A,0.0024262190470382,0.0001306830779825
ZNF18,0.0024144282499528,5.930041922046973e-05
FBXL9P,0.0024135388648947,8.165001338757636e-05
SPTSSB,0.0024132094923637,0.0001359194318416
WAS,0.0024110922695612,0.0002913243302304
SCAF4,0.0023969056555879,0.0001671893906112
SNTA1,0.0023923808122248,0.0001604071106954
PJA2,0.0023894312134686,5.255271719617999e-05
ANKFY1,0.0023868823899461,2.547285157172867e-05
NPRL3,0.0023858212127312,0.0001565694641391
ZMYND8,0.0023839508053042,0.0002551869697381
DPM1,0.0023831012234898,0.0003909910964011
SRSF5,0.0023808947857268,0.0001553279473126
SRSF10,0.0023772617447048,0.0001371589639214
WBP4,0.0023768355273477,0.0001239084559277
ATAD5,0.0023720740477431,0.0002172796308416
ZCWPW1,0.0023716141641275,0.000358202038299
MRPS6,0.0023671816958636,9.877284288616564e-05
SIAH2,0.0023594905956548,0.0002126482404924
MYO6,0.0023579838253492,0.0001810925640202
STAT5B,0.0023549119754547,0.0001737495956028
FANCA,0.0023542781912394,0.0002273895527639
MRPS21,0.0023528317990474,0.0001533575885406
TMEM131L,0.00233409571625,0.0003370229998687
IST1,0.0023338070754033,0.0002139023637781
UBR7,0.002324432779085,0.0002003507902171
MLF1,0.0023223852114274,0.0001127281071015
STK40,0.0023192992827475,0.0003977817793724
TMEM168,0.0023087914459431,0.0003360877389526
FBF1,0.0023017683273255,0.0002795998582674
ZNF99,0.0022992979197318,0.0001621520393451
ZFYVE26,0.0022984685600702,0.0001743568172129
ETFB,0.0022960175398969,0.0002671897305971
STK25,0.0022853552169535,0.0001755197010221
ISG15,0.0022837634366717,0.0001971118425815
DESI1,0.0022791043685439,8.28228719514858e-05
TMEM230,0.0022749594074419,0.0001944589371282
KRT72,0.0022733854418234,0.0002793452094915
EPS15L1,0.0022713437230077,0.0001387270217007
HSDL2,0.0022707510568591,0.0002209282259722
PPP1R7,0.0022631010925871,0.0003638288646013
FBRS,0.002261450664592,0.0003697924743659
CMTM7,0.0022578031653815,0.0002493009275173
ASXL2,0.0022576686724085,0.0002642139296581
DEGS1,0.0022395253245346,0.0002456690988632
ZNF276,0.0022306735961394,0.000287061942989
ANKLE2,0.0022292119195141,9.130129936919984e-05
