gene,log2FoldChange,padj,n_saga,SAGA_KDz
CCNB1,1.2588987279649888,0.0235871489209387,1.0,0.13950824737548828
CCNB2,1.534823544957884,0.0398120169257849,1.0,-0.056073952466249466
LRRC45,1.1091711393571535,0.0399897340013174,1.0,-0.8135469555854797
DERL3,1.86442836529038,0.0398638545951439,1.0,-1.3996374607086182
SRC,1.7480303567967488,0.04130984135744,1.0,0.5775452852249146
CPPED1,1.0158497395619814,0.0453123190383854,1.0,0.27506890892982483
TMEM63A,-0.6435593935747166,0.0453002431473172,1.0,-0.6009454131126404
CLYBL,-0.8431035054367738,0.0428878587615403,1.0,-0.5383102297782898
DHDDS,0.6507673927729032,0.045355275560012,1.0,0.7570437788963318
KIF20A,2.0580481742939964,0.0390572948098263,1.0,0.7020624279975891
GPX7,0.8139969820949707,0.0383104929558741,1.0,-1.0106464624404907
C6orf47,0.5752087370206029,0.0399897340013174,1.0,0.828101634979248
ESYT2,-0.6105085317831219,0.0332613485398254,1.0,1.124495506286621
BEX2,-1.0657100526585346,0.029632846760446,1.0,-0.7562116980552673
SLC40A1,-1.5751110757557338,0.0346060057982902,1.0,1.0562528371810913
AK9,-0.9841098480444124,0.0372267386252399,1.0,0.8974765539169312
APBB3,-0.5272204113587988,0.0119893070785552,1.0,0.4101547300815582
IGF1R,-1.7557316826297047,0.0115413003054787,1.0,-0.3198074698448181
PASK,-0.7872382720567597,0.0055091119321533,1.0,0.29968491196632385
LDLRAP1,-0.960569579943582,0.0033202803801409,1.0,0.5365554690361023
METTL21A,-0.7177822956362279,0.0017077329281615,1.0,0.9147321581840515
LEF1,-1.0765464320627929,0.0004926611869497,1.0,-0.696977436542511
