gene,z_discovery_tumor,log2FC_tumor,lfcSE_tumor,padj_tumor,z_tumor_splitA,z_tumor_splitB
MLF1IP,4.034394339137971,1.5394529585093957,0.3815821729608936,0.0084537323974993,3.5955034238611456,2.26281853793926
CALM3,4.033546032749901,0.3781489893071912,0.0937510037661291,0.0084537323974993,3.137933857288801,2.5867278560924025
CENPM,4.02282839929791,1.0401148223563577,0.2585531171396436,0.0087517664725486,4.367905283629358,1.3297898935324477
PSMA4,4.007987637780697,0.4354007047096032,0.1086332454235545,0.0092199895332894,3.805894032315938,1.8048113616781367
MKI67,3.998835918283283,1.644302653839213,0.4111953297011294,0.0093986168727991,3.643344659284194,2.0921269619809246
PSMB6,3.991455723777945,0.3914741474814256,0.0980780383330651,0.0093986168727991,3.1572115030935275,2.513439849454146
RAB1B,3.990543934810932,0.3593250525042084,0.0900441289142786,0.0093986168727991,2.8994852435736123,2.570451919339531
APOBEC3H,3.9886436607948377,1.1804326650149466,0.2959483888264201,0.0093986168727991,3.4205479308293527,2.3750618809706348
RAD51,3.976991193043469,2.0352748266532257,0.5117624676195706,0.0097723806895076,4.078949924142585,1.684100120286205
CDCA5,3.972166112892853,1.9947090543830217,0.5021716105750454,0.0098737701871411,4.501628487382049,1.2812167946883843
PSME2P2,3.9673185918310336,0.5341074952818915,0.1346268223534287,0.009917535119433,3.088461058136606,2.364063931710548
GINS1,3.950791169270136,2.4708244493439704,0.6253999119372404,,3.0130601560319668,2.4576292259517576
DNASE2,3.9424464491899953,0.555734993615222,0.1409619637901237,0.0107158765055182,2.989518149079142,2.296240123035962
MTHFD1,3.941054835007265,0.6473264891888907,0.1642520889176355,0.0107158765055182,2.812507813786138,2.759507980275289
NUSAP1,3.938396396715954,1.0535472887662347,0.2675066658208246,0.0107158765055182,4.735876484995997,1.263565751519225
EME1,3.935348014022309,1.8968613474154477,0.4820059981116308,,2.328351635376166,3.163465764500153
DPP3,3.934359534909476,0.6681181710377716,0.1698162471196583,0.0107158765055182,4.26743660398546,1.2320673715133423
PRC1,3.9192015611347353,1.0621552008334725,0.271013160273886,0.011008644332469,3.6326088055458414,1.7669650204047322
WDR83OS,3.916962504893896,0.377480595741598,0.0963707452573185,0.0110138859175162,3.293759475845836,2.078200889904729
KIF15,3.9084062949844456,2.092353126693942,0.5353468827892851,0.0112477622967878,3.2863988845152834,2.1163273070420807
NUBP2,3.907690842460112,0.4198999914554552,0.1074547625141973,0.0112477622967878,3.1757731937629585,2.0812214940899434
WEE1,3.90155414169778,0.9117566836075528,0.2336906398050899,0.0112950488220924,3.1242547487644696,2.3672818408125718
C12orf75,3.900500062049471,0.8688732261259529,0.2227594442517234,0.0112950488220924,2.26788166432502,4.011858498569984
SQRDL,3.878288407041194,0.4567521320086005,0.1177715744861439,0.0119002170086961,2.6617911384463624,3.0967069906979465
POLQ,3.877842586547643,1.8763701998290312,0.4838696151149141,0.0119002170086961,5.378382992640617,0.7660533374736096
RRM2,3.861434803796588,1.8940743027032465,0.490510496471669,0.0123965205907985,3.347023750095767,2.1826109239031344
E2F7,3.861337988657112,2.223958078249945,0.5759552996352408,0.0123965205907985,4.433643421656864,1.84131203596797
ARHGAP11A,3.860061293278216,1.0900448527064674,0.2823905554568876,0.0123965205907985,3.278403252271562,2.099926643449258
GINS2,3.858235090246493,1.4826726689909389,0.3842877985167603,0.0123965205907985,4.042447312429219,1.4860104297027186
HIST1H3G,3.849198356764238,2.206585820520549,0.5732585374933696,0.012763901905124,2.8378418250371125,2.962132449173281
ERLEC1,3.8413470727037264,0.3779364534149282,0.0983864374298566,0.0129697711772391,2.563948762609099,2.5581957215956104
NCAPH,3.8398450768632526,1.0558893205002424,0.2749822712542331,0.0129697711772391,3.171712287666082,2.677483080245296
WDR76,3.837836841108448,0.6751162672318256,0.1759106223590364,0.0129699174358095,3.900820964055296,1.3873974090218153
MCM2,3.825721947960589,1.388731892095663,0.3629986473104681,0.0134243554146861,4.264207475388842,1.3426360188118354
TMEM127,3.8229384061678746,0.6637141977268385,0.1736136257534286,0.0134777660571574,2.8278026545451698,2.373209383571716
CCNE2,3.8141643817770814,1.5488612602295189,0.4060814126495196,0.0138644654628236,2.7957465071011733,2.7465357553995724
GTSE1,3.8111562827189913,1.905402369830291,0.4999538797372331,0.0139333279251794,3.760075530632752,1.385835760639757
